,title,company,location,salary,summary
32,"
Data Engineering Analyst - SQL, SSIS, SSRS - Gurgaon, HR","

UnitedHealth Group",nan,nan,"Here, innovation isn't about another gadget, it's about making health care data available wherever and whenever people need it, safely and reliably."
33,"
Associate Director, Data Management and Analytics","

Parexel",nan,nan,Experience in clinical trials data management desirable.
34,"
Data Engineer","
AI Engineer","Indore, Madhya Pradesh","

₹17,000 - ₹25,000 a month
","Development knowledge - Data Modelling, connectivity with SAP and Bex queries, data mining, data quality, data cleansing, ETL, Proficiency in SQL."
35,"
Machine Learning Course And Internship Program","
Pianalytix Edutech Pvt Ltd","Hyderabad, Telangana","

₹1,00,000 a year
",Pianalytix Edutech Pvt Ltd Is offering training and internship programs on.
36,"
Technical Content Writer - Data Science & Full Stack Java","

Nacre Software Services Pvt. Ltd","Ameerpet, Hyderabad, Telangana","

₹15,000 - ₹20,000 a month
",Role involves creating software courses learning materials in efficient and attractive way.
37,"
Head of ML/Data Science","
Ai Health Highway India Pvt Ltd","Bengaluru, Karnataka",nan,Head of ML/Data Science for MedTech Startup incubated in IISC Bangalore*.
38,"
Data Science Lead","

TA Digital","Hyderabad, Telangana",nan,"Manage a team of data scientists, machine learning engineers, and big data specialists."
39,"
Assistant Manager - Data Science","
Vreedhi Financial Services","Hyderabad, Telangana",nan,"O Explore data for insights, use statistical analysis and machine learning algorithms to identify relationships and trends in data and support business decision…"
40,"
Data Scientist","

Payoda","Coimbatore, Tamil Nadu",nan,You will have the opportunity to use big data technologies to tame real-world data science scenarios.
41,"
Hiring Python, Machine Learning and Data Science Trainer","
JNtech Networks","Noida, Uttar Pradesh","

₹20,000 - ₹30,000 a month
","Hiring for Python, Machine Learning and Data Science Trainer At JNtech Networks."
42,"
Data Analytics Internship","
Greenhorn Wellness Pvt. Ltd","Bengaluru, Karnataka","

₹12,000 - ₹18,000 a month
",Query data and prepare reports in defined formats 2.
43,"
Data Science Trainer","
MARSIAN Technologies (marsiantech.com)","Pune, Maharashtra","

₹2,40,000 - ₹4,00,000 a year
",Looking for full time & part time Data Science/Machine Learning Trainers to teach in classroom(offline) in our Viman Nagar branch in Pune.
44,"
Data Science python Intern teacher","
Sasvba","Laxmi Nagar, Delhi, Delhi","

₹3,000 - ₹5,000 a month
",Artificial intelligence data science python.
45,"
Head Data Science-DL-","

Aditya Birla Group",Maharashtra,nan,Review and sign off data model / projects.
46,"
Investigator Payment Specialist","

Parexel","Hyderabad, Telangana",nan,Analysis and presentation of data in a required fashion to various stakeholders.
47,"
Data Engineer","
Lera Technologies Pvt.Ltd","Hyderabad, Telangana","

₹15,00,000 a year
","Experience building and optimizing ‘big data’ data pipelines, architectures and data sets."
48,"
Data Visualization Engineer - Tableau, Spotfire","

Numerator","Pune, Maharashtra",nan,Familiarity with JSON and similar data formats.
49,"
Data Visualization Engineer - Tableau, Spotfire","

Numerator","Pune, Maharashtra",nan,Familiarity with JSON and similar data formats.
50,"
Data Analyst","

Parexel","Hyderabad, Telangana",nan,Assist in developing QC procedures to identify data anomalies.
51,"
Python/Django/Data science Online Trainers","
Server Fosters Technologies","Kottayam, Kerala","

₹8,000 a month
",L and Data science can apply. currently we are looking for only kerala candidates.
52,"
Technology head Data science, data analytics background","

Truedge Software Solutions","Hyderabad, Telangana",nan,"Data science, data analytics background preferred."
53,"
Data Science Engineer","

Aptiv","Bengaluru, Karnataka",nan,CS/ data science engineering education background.
54,"
Software Engineer Data Science (SQL & Python)","

SAP","Bengaluru, Karnataka",nan,Lead/contribute to engineering efforts from design to implementation of data extraction pipelines (ETL).
55,"
Data Science Training","
Emerging India Group",India,"

₹5,00,000 a year
",Handle all incoming customer queries on our Data Science courses and act as a consultant and guide prospects in their purchase decisions for data science…
56,"
Data Science Internship","
Coco Neobank","Pune, Maharashtra","

₹7,000 a month
",Coco Neobank is a neo banking startup for the Indian market.
57,"
Data Science Trainer","

Naresh I Technologies","Ameerpet, Hyderabad, Telangana","

₹3,00,000 - ₹5,00,000 a year
","Should have a strong knowledge on Machine Learning, Deep Learning, R Programming; Python,Statistics,Hadoop etc."
58,"
Data Engineer","

MasterCard","Pune, Maharashtra",nan,Act as an expert data resource within the team.
59,"
Data Science Analyst","

Microsoft","Hyderabad, Telangana",nan,Investigate and respond with relevant data.
60,"
Data Science Online Trainer","
Prognoz",India,nan,Job Id : PTPL/HR/8.
61,"
Specialist, Data Science","

Invesco","Administrative Building, Andhra Pradesh",nan,"The Data Analyst will support our research analysts, senior research management, data analysts and data scientists on data initiatives and supporting…"
62,"
Director, Data Science","

Gartner","Gurgaon, Haryana",nan,Establish methodologies for quickly rolling out new data analysis capabilities for standalone data-driven products and service to support our associates.
63,"
Data Science - AI Internship","

Social Prachar","Hyderabad, Telangana","

₹5,000 a month
",Tech/MCA/MSc 2018-2020 passed-out Strong programming skills Knowledge of python is desirable Good knowledge of IBM Watson tools or Google Dialogflow is a plus…
64,"
Data Scientist","
AI Engineer","Delhi, Delhi","

₹17,000 - ₹25,000 a month
",Ability to use data visualization tools to showcase data for stakeholders.
65,"
Data Scientist","
Vistan NextGen Pvt Ltd","Hyderabad, Telangana","

₹25,000 a month
",Ability to transform natural language data into useful features using NLP techniques to feed classification algorithms.
66,"
Data Engineer","
GIUSTINO SOLUTIONS PVT LTD","Hyderabad, Telangana","

₹12,00,000 a year
","Experience building and optimizing ‘big data’ data pipelines, architectures and data sets."
67,"
Data Engineer","

NatWest Group","Delhi, Delhi",nan,Loading data into data platforms.
68,"
Data science/Data analytics/Python","

HSBC","Pune, Maharashtra",nan,"Exploring and visualizing data to gain an understanding of it, then identifying pattern in data distribution and generate insights."
69,"
Data Science Engineer","
Involvio","Bengaluru, Karnataka",nan,"Experience with common data science toolkits, such as R, Weka, NumPy, MatLab, etc."
70,"
Data Analyst","
Artifex Technologies Pvt Ltd","Chennai, Tamil Nadu","

₹5,00,000 - ₹7,00,000 a year
",Applying logics to sanitize the data and ensure only clean data is maintained.
71,"
Sr. Data Scientist","
Qwickbit technologies pvt ltd","Bengaluru, Karnataka","

₹12,00,000 - ₹16,00,000 a year
",\* Present information using data visualization techniques.
72,"
Senior SQL Data Analyst","
DeepR Analytics",nan,"

₹6,00,000 - ₹12,00,000 a year
",Querying historical high-frequency market data to identify price patterns.
73,"
Data Scientist ( Minimum 1+yr of Exp )","

Globussoft","Koramangala, Bengaluru, Karnataka","

₹4,00,000 - ₹5,00,000 a year
",\* Develop custom data models and algorithms to apply to data sets.
74,"
Data Scientist Developer","

Safaltek Software Pvt. Ltd.","Mohali, Punjab","

₹1,75,000 - ₹4,75,600 a year
",Job Title: * Data Science Developer.
75,"
POP & Compliance Specialist","

Novartis","Hyderabad, Telangana",nan,Education: Graduate degree required in life science/ medicine/ pharmacy/ healthcare related field.
76,"
Java Big Data Developer 1-3 years","
GIUSTINO SOLUTIONS PVT LTD","Madhapur, Hyderabad, Telangana","

₹15,00,000 a year
","Prior experience in big data tools - Hadoop, Hive, HBase, MongoDB, etc."
77,"
Data Science Engineering Manager","
aisle 3","Bengaluru, Karnataka",nan,Deploy and monitor data science solutions.
78,"
Analyst—Insight—Deloitte Support Services India Private Limi...","

Deloitte","Hyderabad, Telangana",nan,"Ensure data confidentiality, integrity and protection of company's intellectual property."
79,"
Data Science Engineering Manager","
aisle 3","Bengaluru, Karnataka",nan,Deploy and monitor data science solutions.
80,"
Analyst—Insight—Deloitte Support Services India Private Limi...","

Deloitte","Hyderabad, Telangana",nan,"Ensure data confidentiality, integrity and protection of company's intellectual property."
81,"
Data Science Internship","
Advanced Speciality Materials LLP","Mumbai, Maharashtra","

₹5,000 a month
",Study the data in our business 2.
82,"
Data Developer and Machine Learning Analyst","

NetApp","Bengaluru, Karnataka",nan,Are you excited about data analytics & deriving insights from petabytes of data using modern machine learning techniques?
83,"
Data Analytics Internship","
ThoughtFolks Digital","Hyderabad, Telangana","

₹15,000 a month
",Acquiring data from primary or secondary data sources and maintaining databases.
84,"
Trainer (Data science) Internship","
Industry360","Faridabad, Haryana","

₹7,000 - ₹12,000 a month
",Industry360 is an industrial approach toward data science and analytics.
85,"
ML Engineer/ Data Scientist","
Spotflock","Hyderabad, Telangana",nan,Supervising the data acquisition process if more data is needed.
86,"
Data Analytics and Strategy Manager","

Salesforce","Hyderabad, Telangana",nan,4+ years experience in the data warehouse space.
87,"
Python Based ERP Developer","
Uniexperts Ltd","Ramapurampdur, Tamil Nadu","

₹17,674 - ₹40,000 a month
",Delta data lake knowledge is a plus.
88,"
Data Steward (Technical R&D)","

Novartis","Hyderabad, Telangana",nan,Contributes to data flow/data models based on frequency and business needs in collaboration with data engineers and data modelers.
89,"
Data Analyst","
Prevalent AI","Kochi, Kerala",nan,"Providing technical expertise on data storage structures, data mining, and data cleansing."
90,"
Junior Data Analyst","

Greenlight Planet","Gurgaon, Haryana",nan,Document data structure to make data analysis simpler across the organization.
91,"
Senior SQL Data Analyst","
DeepR Analytics",nan,"

₹6,00,000 - ₹12,00,000 a year
",Querying historical high-frequency market data to identify price patterns.
92,"
Data Scientist","

ALSTOM","Bengaluru, Karnataka",nan,Knowledge in data mining and data engineering techniques.
93,"
Data Analytics and Business Intelligence Specialist","
Profitics","Madhapur, Hyderabad, Telangana",nan,Coordinates with IT to define and establish the overall data warehouse architecture for the business including an integrated data model covering the entire…
94,"
DATA SCIENTIST","

Rockwell Automation","Pune, Maharashtra",nan,Experience implementing data science models in production.
95,"
Data Science Professional","
SourceGain Consulting Pvt. Ltd.","Delhi, Delhi",nan,Building tools to automate data collection.
96,"
Data Science Internship","

Vidooly","Noida, Uttar Pradesh","

₹8,000 - ₹15,000 a month
",Handle data set creation/ data collection 7.
97,"
Junior Data Science Team Member","
Imurgence",India,nan,"Experience with common data science toolkits, such as R desirable."
98,"
Data Analyst","
PayU","Gurgaon, Haryana",nan,"Ability to work on large data sets, analyze and interpret data for performance improvement and issue detection."
99,"
Associate NLP & Text Mining Data Scientist","

Evolent Health","Pune, Maharashtra",nan,Gather external data sets; build synthetic data and label data sets as per the needs for NLP/NLR/NLU.
100,"
Data Scientist","

Meesho","Bengaluru, Karnataka",nan,Inferring insights from our existing data to identify new growth opportunities.
101,"
Data Science Lead","
D Cube Analytics","Bengaluru, Karnataka",nan,"Degree in applied math, statistics, machine learning or computer science."
102,"
Computer Science Faculty","
Zelinoid Technologies Pvt Limited","Hyderabad, Telangana","

₹25,000 a month
","Looking for Computer Science Faculty, having minimum 2 years of experience in teaching programming languages, Operating Systems, Algorithms/data structures,…"
103,"
Capacity Planning Forecasting Analyst","

Amazon Dev Center India - Hyd","Hyderabad, Telangana",nan,3+ years experience modeling data and/or statistical forecasting.
104,"
Data Analyst / Data Science Intern","
FutureWagon","Bengaluru, Karnataka",nan,This role would require the ability to manipulate vast data into meaningful decision-making data.
105,"
Data Science Specialist/Senior Data Science Specialist","
Maven Wave","Chandigarh, Chandigarh",nan,Develop custom data models and algorithms to apply to data sets.
106,"
Junior Environmental Scientist or Engineer","
Trace Associates","Alwal, Hyderabad, Telangana",nan,"Assist project managers with general office tasks including developing work plans, cost estimates, and data analysis/review."
107,"
Big Data Engineer","
BDI Plus","Bengaluru, Karnataka","

₹5,00,000 - ₹12,00,000 a year
","This position is responsible for developing, implementing and maintaining *Java and Big data based Products and components for the Big data science enabled…"
108,"
Data Analyst I","

Dun & Bradstreet","Hyderabad, Telangana",nan,Perform data profiling and analyze results to identify data quality issues.
109,"
Senior Big Data Engineer (Data Science/ML)","
Integral Ad Science","Pune, Maharashtra",nan,Architect and build data pipelines and data stores specialized for data science needs.
110,"
Manager- Data Science (Marketplace)","
GO-JEK","Bengaluru, Karnataka",nan,Able to tell a coherent data narrative using visualization tools and able to set best practices in data visualization to convey a product insight through…
111,"
Python / Data Science - Architect","
Career Soft Solutions","Chennai, Tamil Nadu",nan,Leads the organizations planning for the future of the data model and data architecture.
112,"
Data Science Engineer","

Hewlett Packard Enterprise","Bengaluru, Karnataka",nan,Assess the effectiveness and accuracy of data sources and data gathering techniques.
113,"
Data Science Internship","
PRG PHARMACEUTICALS","Delhi, Delhi","

₹13,000 a month
",(computer science)/BCA Having a Diploma in data science and business analytics will be an advantage Should have 0-2 years of experience Should be 20 to 30 years…
114,"
Data Science Developer","
Safaltek",Meghalaya,nan,Data Science Developer Apply Job.
115,"
Data Integrity Specialist","

Cerner Corporation","Bengaluru, Karnataka",nan,We are excited to hire a Data Integrity Specialist for our Cerner Supply Chain team.
116,"
Delivery Data Scientist","

Microsoft","Hyderabad, Telangana",nan,You love to work within an international team on the most challenging data science problems.
117,"
Director (Data science & Analytics)","
WhiteHat Jr","Mumbai, Maharashtra",nan,Ability to QA and troubleshoot data.
118,"
Trainee - Junior Data Analyst","

Cognizant","Coimbatore, Tamil Nadu",nan,Graduate/Post Graduate/ Doctorate degree in life sciences/Pharmacy/Medical sciences/Registered Nurse.
119,"
Data Science part time job/internship at Navi Mumbai","
Candies Studio","Navi Mumbai, Maharashtra","

₹20,000 a month
",Streamline all social media and external data into a data lake 4.
120,"
Data Scientist - Predictive Analytics","

Yash Technologies","Hyderabad, Telangana",nan,Min 3+ years of relevant experience in data analytics.
121,"
Machine Learning Engineer","

Climate Connect","Pune, Maharashtra",nan,Able to access and work with various data APIs.
122,"
Process Experts - Opportunity to Cash-Data Analyst","

Siemens Technology and Services Private Limited","Bengaluru, Karnataka",nan,Proven working experience as business data analyst.
123,"
Data Science Trainer","
LIVEWIRE - A division of Cadd centre training serv...","Hyderabad, Telangana","

₹13,000 - ₹16,000 a month
","Should have a strong knowledge on Machine Learning, Deep Learning, R Programming; Python,Statistics,Hadoop etc."
124,"
Process Experts - Opportunity to Cash-Data Analyst","

Siemens Technology and Services Private Limited","Bengaluru, Karnataka",nan,Proven working experience as business data analyst.
125,"
Data Science Trainer","
LIVEWIRE - A division of Cadd centre training serv...","Hyderabad, Telangana","

₹13,000 - ₹16,000 a month
","Should have a strong knowledge on Machine Learning, Deep Learning, R Programming; Python,Statistics,Hadoop etc."
126,"
Manager - Data Science","

Innominds Software","Hyderabad, Telangana",nan,Lead customer engagement in data analytics to take customer's business problem and convert it into a data science problem through.
127,"
Data Science Engineer","

Inspirisys Solutions","Chennai, Tamil Nadu",nan,"Apply design and data analysis techniques to organize the presentation of data in visually innovative ways in order to make it easier to understand, insightful,…"
128,"
Data Scientist","
Muthoot Micorfin Ltd","Ernakulam, Kerala","

₹8,00,000 - ₹12,00,000 a year
",Extensive data modelling and data architecture skills.
129,"
Service Operations Expert","

Novartis","Hyderabad, Telangana",nan,Where you’re given opportunities to explore the power of digital and data.
130,"
Data Integration Engineer","
ClimaCell","Gurgaon, Haryana",nan,Performs data analysis required to troubleshoot data related issues and assist in the resolution of data issues.
131,"
Manufacturing Intelligence: Process Informatics & Data Analy...","

Pfizer","Sholinganallur, Chennai, Tamil Nadu",nan,"Hands-on experience in key technical areas, including process analytics and control, data science, advanced multivariate data analysis, machine learning and…"
132,"
Data Administrator - Remote Position","
StartUs Insights",Remote,"

₹32,000 - ₹58,000 a month
",Clean and update data accumulated in the databases.
133,"
ID&A - Data Visualization Engineer","

Shell","Bengaluru, Karnataka",nan,Ability to think strategically and communicate data-driven insights by transforming science and numbers into easily understandable visualization is desirable.
134,"
Associate Data Scientist","

Bajaj Allianz General Insurance Company",India,nan,Machine Learning based data Products development.
135,"
1803- Data Analyst, Level 3","
Certara","Secunderabad, Telangana",nan,"Knowledge of statistics, data management tools like R is an added advantage."
136,"
Business Intelligence Analyst","

Micron","Hyderabad, Telangana",nan,3 to 5 years of work experience in performing data analysis and building business intelligence solutions.
137,"
Machine Learning","
Xpheno","Bengaluru, Karnataka","

₹15,00,000 - ₹20,00,000 a year
",Experience building large scale data processing pipelines.
138,"
Data Analytics Specialist, Google Cloud, Customer Engineerin...","

Google","Mumbai, Maharashtra",nan,"Technical sales or professional consulting experience in cloud computing, data, information lifecycle management and Big Data."
139,"
Associate Director, Data Management and Analytics","

Parexel",nan,nan,Experience in clinical trials data management desirable.
140,"
Data Engineering Analyst - SQL, SSIS, SSRS - Gurgaon, HR","

UnitedHealth Group",nan,nan,"Here, innovation isn't about another gadget, it's about making health care data available wherever and whenever people need it, safely and reliably."
141,"
Data Scientist-1","

PayPal",nan,nan,As the decision science analyst she/he….
142,"
Senior Data Scientist-1","

PayPal",nan,nan,Leveraging data analysis tools and technologies.
143,"
Data Analyst / Data Science Intern","
FutureWagon","Bengaluru, Karnataka",nan,This role would require the ability to manipulate vast data into meaningful decision-making data.
144,"
Data Science Specialist/Senior Data Science Specialist","
Maven Wave","Chandigarh, Chandigarh",nan,Develop custom data models and algorithms to apply to data sets.
145,"
Junior Environmental Scientist or Engineer","
Trace Associates","Alwal, Hyderabad, Telangana",nan,"Assist project managers with general office tasks including developing work plans, cost estimates, and data analysis/review."
146,"
Big Data Engineer","
BDI Plus","Bengaluru, Karnataka","

₹5,00,000 - ₹12,00,000 a year
","This position is responsible for developing, implementing and maintaining *Java and Big data based Products and components for the Big data science enabled…"
147,"
Data Analyst I","

Dun & Bradstreet","Hyderabad, Telangana",nan,Perform data profiling and analyze results to identify data quality issues.
148,"
Senior Big Data Engineer (Data Science/ML)","
Integral Ad Science","Pune, Maharashtra",nan,Architect and build data pipelines and data stores specialized for data science needs.
149,"
Manager- Data Science (Marketplace)","
GO-JEK","Bengaluru, Karnataka",nan,Able to tell a coherent data narrative using visualization tools and able to set best practices in data visualization to convey a product insight through…
150,"
Data Analyst / Sr. Data Analyst – Data Science","
RESERVE BANK INFORMATION TECHNOLOGY PRIVATE LIMITE...","Mumbai, Maharashtra",nan,3-8 years’ experience in Analytics and Machine Learning.
151,"
Python / Data Science - Architect","
Career Soft Solutions","Chennai, Tamil Nadu",nan,Leads the organizations planning for the future of the data model and data architecture.
152,"
Data Science Engineer","

Hewlett Packard Enterprise","Bengaluru, Karnataka",nan,Assess the effectiveness and accuracy of data sources and data gathering techniques.
153,"
Data Engineer II","

Indeed",nan,"

₹27,00,000 - ₹40,60,000 a year
",Hands-on data processing and data modeling experience in a big data environment.
154,"
Data Engineering - Scala Databricks - Multiple locations","

UnitedHealth Group",nan,nan,"Experience in data ingestion, preparation, integration and operationalization techniques in optimally addressing the data requirements."
155,"
Data Warehouse Engineer III","

Indeed",nan,"

₹39,20,000 - ₹56,80,000 a year
","The successful candidate will have hands on data processing and data modeling experience in a ""big data"" environment."
156,"
Manager Data Science","

PayPal",nan,nan,Design and implement data-driven systems that increase sales success.
157,"
Engineering Manager – Data Science & Machine Learning","

BookMyShow","Mumbai, Maharashtra",nan,Experience in handling large volumes of multidimensional data or unstructured data.
158,"
Data Engineer - Beginner (Hyderabad)","
Zessta","Hyderabad, Telangana",nan,1 to 3 years of experience as a data Engineer.
159,"
Machine Learning Engineer","
Regent Climate Connect Knowledge Solutions Private...","Pune, Maharashtra","

₹7,00,000 - ₹12,00,000 a year
",Knowledgeable. You are constantly researching and always up-to-date with all recent advancements in data sciences.
160,"
Data Scientist_TS","
AppZen","Pune, Maharashtra",nan,"Ensure data quality throughout all stages of acquisition and processing, including such areas."
161,"
Data Scientist: Product Analytics","
Zoom","Bengaluru, Karnataka",nan,Firm believer of data driven decision making.
162,"
Data Science Trainer","

Baroda Institute of Technology","Vadodara, Gujarat","

₹15,000 - ₹30,000 a month
",Urgently looking Trainer for Data Science.
163,"
Data Scientist","
IDEAS2IT TECHNOLOGY SERVICES PRIVATE LIMITED","Madras Race Course, Tamil Nadu","

₹4,25,000 - ₹5,25,000 a year
",Make a difference to cutting edge Silicon Valley AI startups.
164,"
Senior Machine Learning Engineer","
IDfy ( Baldor Technologies Private Limited)","Mumbai, Maharashtra","

₹15,00,000 - ₹30,00,000 a year
",Our ideal candidate is someone with 6-20 years of experience in data science.
165,"
Big Data","
Canadian College of Business, Science & Technology","Ahmedabad, Gujarat","

₹30,000 - ₹45,000 a month
",Responsibilities include but are not limited to: *.
166,"
Research Associate","

Syngene","Bengaluru, Karnataka",nan,Good Knowledge of analytical techniques and analytical data interpretation.
167,"
Big Data Testing – Hadoop, Kafka, ETL, Java","
Qualitrix Technologies","Bengaluru, Karnataka",nan,Scripting ability to extract and process data.
168,"
Senior Manager - Data Champion","

Novartis","Hyderabad, Telangana",nan,They are passionate about and promote the concepts of data governance and data management in their respective functions.
169,"
Data Scientist- Computer Vision Scientist","

[24]7.ai","Bengaluru, Karnataka",nan,The Computer Vision and Image Processing (CVIP) team of Data Science Group (DSG) develops scalable solutions involving images and videos in conversational space…
170,"
Associate , Data Engineering","

BlackRock","Gurgaon, Haryana",nan,"The data platform is compelling analytics offering, supported by high quality historical data."
171,"
Data Science Specialist","

Great Learning","Gurgaon, Haryana",nan,Drive cross-pollination of ideas and knowledge with in-house data science team to deliver in-house solutions and translate them into learning material & case…
172,"
Data Science Specialist","

Great Learning","Gurgaon, Haryana",nan,Drive cross-pollination of ideas and knowledge with in-house data science team to deliver in-house solutions and translate them into learning material & case…
173,"
VC++/C++/ MFC- Data Modeling- Complex Problems","
CareerXperts","Hyderabad, Telangana",nan,Our Client owns the market-leading data modeling solutions that helps organizations promote strong data governance and derive maximum value from their data…
174,"
Programmer Analyst","

Cognizant","Mysore, Karnataka",nan,Collate data and provide inputs for reporting requirements.
175,"
Data Scientist I","

Novartis","Hyderabad, Telangana",nan,Works with senior data science team member to present analytical content concisely and effectively.
176,"
Data Scientist –Technology","

Anlage Infotech","Bengaluru, Karnataka",nan,"Perform exploratory data analyses, generate and test working hypotheses, prepare and analyze historical data and identify patterns."
177,"
Project Data Manager - CDM+SAS+SDTM Role","

Syneos Health Clinical","Hyderabad, Telangana",nan,Trains and mentors data management staff.
178,"
Data Operations Associate - GUR","

BlackRock","Gurgaon, Haryana",nan,"Give to all aspects of rolling out multiple concurrent new indices, across various asset classes and strategies in Aladdin, including vendor data acquisition,…"
179,"
Clinical Data Reviewer","

Bayer","Hyderabad, Telangana",nan,"Bachelor in natural sciences, medical documentation, data science, statistics or related life science field."
180,"
Director of Data Science","
TaskUs","Indore, Madhya Pradesh",nan,You will use data science techniques to develop predictive models.
181,"
Principal Statistical Programmer","

Novartis","Hyderabad, Telangana",nan,"Review eCRF, discuss data structures and participate in data review activities as member of the extended CTT."
182,"
Sr. Data Scientist","
SoulPage IT Solutions","Hyderabad, Telangana",nan,Manage relationship with business stakeholders acting as embedded data scientist constantly thinking about data science solutions to make business better.
183,"
Data Scientist","

MRoads","Hyderabad, Telangana",nan,Deploy and monitor data science solutions.
184,"
Sales Analyst","
AlignTech","Hyderabad, Telangana",nan,"2 to 4 years of experience with data visualization tools, Power BI required."
185,"
Senior Data Analyst","
Compass","Hyderabad, Telangana",nan,"In this role, you will help Compass become the leading source of real estate information by expanding our geographic coverage, introducing new data types and…"
186,"
Data Science","

XenonStack","Mohali, Punjab",nan,We are searching for top talent that will help solve some of the most challenging problems in the IT world using data science methodologies.
187,"
Data Science Manager","

Honeywell","Bengaluru, Karnataka",nan,"Collaborating and influencing team resourcing including engineering, data engineering, customer engagement, and product managers to ensure successful execution."
